epoch,train_loss,test_acc,useful_exemplar_%,maxdisintra,disintra,interCN_catg,interCN_min,ratio
0,19.654829568249454,84.39583333333334,99.8429154885329,1.0580666284262665,0.796205689071991,3.5586002,2.4570558,2.32221274265893
1,5.99297059336212,85.02083333333333,99.93088281495447,0.4838070910309298,0.2973028134427054,1.6276861,1.040446,2.150539052243884
2,3.443527975091386,84.9375,99.95287464655985,0.3912516453871319,0.23746010367186554,1.2738802,0.83271533,2.128336947143417
3,2.752267951059746,84.84375,99.90889098334905,0.3495566358920298,0.21228037842502862,1.1800427,0.76131666,2.177949376139147
4,2.456789728204222,84.51041666666667,99.9434495758718,0.3369342142618324,0.2024010911313545,1.1783503,0.7358633,2.1839970440288985
5,2.1048619753566133,84.53125,99.91203267357838,0.3195157390324258,0.19221329417470592,1.1812527,0.71639955,2.24214166290326
6,1.9714077643074033,84.63541666666666,99.9654414074772,0.31125268937643596,0.18962045316972093,1.25262,0.73214513,2.3522531872771553
7,1.883211856046788,84.78125,99.93088281495447,0.30441631229218075,0.18649553649386136,1.2810545,0.7327812,2.407167888872453
8,1.8062243429419007,84.77083333333333,99.9151743638077,0.296700643366153,0.18297101604040364,1.3062292,0.73187834,2.4667231319114302
9,1.7728600422241685,84.5625,99.91517436380772,0.2962596031397984,0.1829469303769901,1.3403782,0.74068874,2.5001341166909214
10,1.6418004414475718,84.54166666666667,99.93716619541311,0.29049236981412957,0.17950519665542017,1.3548517,0.7324501,2.521409178734295
