epoch,train_loss,test_acc,useful_exemplar_%,maxdisintra,disintra,interCN_catg,interCN_min,ratio
0,19.90596731658507,78.000586706898,99.95365220615491,1.1812859172255734,0.9195834359231374,3.5867634,2.129118,1.802373104302127
1,13.207994512277132,79.04827759617802,99.97991595600048,0.5644283547092268,0.29913812451908495,2.0346885,0.85484666,1.5145352801470533
2,10.827087690521267,78.83035789120778,99.987640588308,0.5043896909312346,0.2561254214468549,1.7418469,0.7286398,1.4445968951700985
3,9.432079756783697,78.8974101081217,99.993820294154,0.4831488277020876,0.23383233771385326,1.5869691,0.6486289,1.342503289512941
4,8.486038701254481,78.89950548990026,99.990730441231,0.4320090579197268,0.20767800693608485,1.3996882,0.57589185,1.333055040910401
5,7.019786063635575,79.05665912329226,99.98918551476949,0.4102041109991265,0.19392984217866988,1.3197217,0.5409577,1.318752481460212
6,6.519540671777142,78.72977956583689,99.98455073538499,0.3738851321309477,0.1800381269095938,1.2358428,0.5009614,1.3398805672346787
7,6.215205244347039,78.66691811248009,99.98918551476949,0.3549583359810104,0.17203928583302144,1.1826175,0.4814489,1.3563532391712676
8,6.0221916485880325,78.59567513200906,99.98455073538499,0.3382024135948229,0.1645654339081773,1.1608043,0.45933452,1.358164531126115
9,5.785753063617214,78.59777051378761,99.97837102953898,0.3304138763027691,0.16225222773980005,1.1479621,0.45280635,1.3704217227066742
10,5.449899864508392,78.49928757019529,99.97991595600048,0.337680005441082,0.16295089115981154,1.1600833,0.45578352,1.3497497892220298
11,5.3095209809047095,78.52024138798089,99.97837102953898,0.3163251849651112,0.15810987860890297,1.1464294,0.4432957,1.4013923282332086
